narration_id,narration_text
27,There is an orange opening to a waterslide with water pouring out inside of a room with flooring consistent of what is found in swimming establishments. People start to come out of the opening on swimming rings. The first person appears and falls of their red swimming ring followed by two others who went together on a blue swimming ring meant for two people. Two more people come after them on seperate rings that are coloured yellow.
28,"A group of eight people are on a stage preforming a dance to a large seated crowd. The people on stage are all wearing the same clothing, white tank tops and blue jeans. The lights shining down on them are of various colours. The dancers rip their tops off during a portion of the dance and use their shirts as a prop for the dance as the surroundings lights start to flicker and move around aggressively to the portion of the dance."
29,"There is a small crowd listening to music on top of some sort of hill, looking down on the view of the city below during the day. People are engaging in different acts, some are seated, some on their phones, some are smoking, some are dancing, some standing and just watching and some engaged in conversation. Of those who are seated, some are on the floor, some on a segment of a couch, and some are in foldable chairs."
30,"there is a large white house with a big brown driveway that leads down somewhere. There are paln trees and fern trees as well as other shrubbery around. The day is sunny but still has some overcast. Three people walk across the house, not as a group but in a uniform line."
31,"There is a large open area filled with forestry. The trees have green leaved on them but there are still brown dead leaves covering the ground beneath them. There are logs as well on the ground and stumps of trees. Slightly beyond the immediate forestry, there is a well made path within the forested area. A person in a green vest and black pants holding a bucket appears, followed by small, white, furry four legged animals with busy tails. There are 4 of these animals and the person begins to feed them what is inside the bucket."
32,"There is a large open area filled with forestry. The trees have green leaved on them but there are still brown dead leaves covering the ground beneath them. There are logs as well on the ground and stumps of trees. Slightly beyond the immediate forestry, there is a well made path within the forested area. A person in a green vest and black pants holding a bucket appears, followed by small, white, furry four legged animals with busy tails. There are 4 of these animals and the person begins to feed them what is inside the bucket."
33,"There is an overpass, cars flowing in opposite directions seperated by two dividers. Cars are also travelling on the bridge that makes the underpass. The railings of the underpass are red and the trees surrounding have their leaves but the leaves are changing colours past green, like brown and orange."
34,"There is a rock climbing area to an establishment. The floor is padded as the rock climbing is without harnesses but the walls are short so that it is not dangerous to fall from.The walls are green and white and the grips are an array of colours. There are 5 people present in the room, 3 climbing on different sections and two not climbing. Of the two not climbing one is sitting on the blue padded floor and the other initially sits before joining the sitting person. One of the people climbing dismounts and walks near the two seated people to grab some chalk. The first seated person gets up and moves towards the furthest wall."
35,"There is a car dealership filled with various different volkswaggen models. Most of the cars are white and black but there is a red car in the distance. A portion of the floor is white and a portion is black, the cars are scattered all over the flooring with generous amounts of space between them. There are also some rooms and some areas for seating."
36,"A gathering of some sort is occuring. There is pop music and party lights and people are dressed in formal wear, that being suits with ties and dresses as well. The main area is distant but people are in this more sectioned off area engaged in conversation."
37,"A large gathering is happening inside of a gymnasium fitted for a party. There is a large chandelier and party lights adorning the place. A person leads the large group of people on the stage with cues in a foreign language. The group of people on the gym floor dance similarly to one another in an orderly fashion, using mostly feet movements. Everyone is dressed in formal attire, that being suits and dresses."
38,There is a very dark room with small lights scattered around and one light illuminating a figure whose face is only visible from the nose to eyebrows. They are wrapped in some sort of zipup jacket that is pulled up to cover most of their face. They make a noise resembling a giggle during the video. There is white writing across the background behind the person.
39,A person in black is lying on an elevated surface getting a tattoo on their lower calf/shin area from another person wearing a black cap and top and camouflaged pants. The establishment there in has a grey floor and mostly white walls but has one section that is white and purple. There are other elevated sufaces for people to lie on towards the purple and white wall. 
40,There is an amusement park with a ferris wheel going around. The camera is inside one of the compartments of the ferris wheel. The ferris wheel is mostly white with some red. There are cars parked on the grass and people are walking through the amusement park. The day is sunny and there does not seem to be much overcast.
41,There is a person waiting at a restaurant. The person is wearing a black top. The other person in a grey top and apron grabs food and goes over to the seating area. There are workers behind the counter all wearing orange except for one who is in blue. The establishment is serving Middle Eastern food. The flooring is checkered white and black. The person waiting opens the door so more people can enter the restaurant.
42,There is a large open area with various posters for movers scattered around. There is a poster for the movie WIDOWS and another for the animated spiderman movie. There is a central circular kiosk where people are interacting with the workers behind the kiosk.There is also a set of stairs that some people walk up. People enter this complex through a set of doors directly ahead of the kiosk.
43,"there are roughly 7-9 puppies inside of an area meant to house them. The floor is covered with some sort of wooden chips and there are small hay-bails scattered around. There are some mattreses where a couple of puppies are sleeping while the other puppies play fight with one another. The puppies are all black and are around the same size. The area is well llluminated, has white walls and an unpainted roof. "
44,"There is a long tunnel that is poorly illuminated. The tunnel walls are not of brick but are instead jagged rocks. The path is well developed and cemented out. There are tube lights that are spaced out but they do not light up the tunnel well, keeping it mostly dark."
45,"There is a brown coffin with white flowers on top of it with a red velvelt background. Ahead of the coffin are rows of chairs on a black carpet. The area is neatly kept, has white walls and a white roof with grey tiled flooring. The area with the coffin is more well lit than that of the chairs."
46,"There is an orchestra preforming inside of a church. The orchestrator stands in front of rows of people who all have (a) sheet(s) of paper in their hands. The Church is dimly lit, only the orchestra themselves are well lit. Suspended above the preformers is a large brown cross."
47,"A team of healthcare professionals, dressed in blue scrubs with masks, hairnets and surgical gloves preform surgery inside a green room. Inside the room is a TV and much equipment. Two people stand over a table with tools and hand it to the person preforming surgery when they require the tools. There are also people not immediately involved in the surgery wearing green scrubs and not wearing gloves. "
48,There are aisles within a largely empty section of a grocery store selling an array of items. This section of the store has a white room and white flooring and walls. The store si well lit with a combination of spotlights and tube lights. One person with their hair in a ponytail and wearing a headband is shopping with their black shopping basket. They are wearing a forest green jacket with black pants and shoes. As they move down the aisle they come upon an item they are interested in and pick it up before bringing it closer to their face. They then place it into their shopping basket which already has quite a few items in it.
49,There is a large walking park with large buildings in the background. The park is very well maintained with very green grass and trees full with green leaves. The walking path is around a central large open grass area. Within this grass area are seats positioned tidily next to eachother facing another seat ahead of them. The seats are foldable red chairs.
50,"There is a long hallway with people in masks and gear in it. They seem to be wearing some sort of protective gear and are armed with weapons. Intitally there is a large bang and a yell before one of the people backtrack and finds cover behind a corner, the door they were breaching slams shut and anotehr person slowly backtracks as well. The other roughly two people yell before advancing down the other side of the hall. As this is happening another person on the opposing side from all this action, not involved, just watching. They are wearinga blue vest and a mask to differentiate from the others. The setting is neutral colours, a white roof, cream and white walls. There is a staircase one could enter this area from that has glass doors."
51,"Three people are in a shooting range. The section they are in is a long hallway with no doors on the walls, just one exit/entrance and the other end has the target. The flooring is blue the walls and roof are white. Of the three people, one is shooting gun, they have long hair in a ponytail and are wearing a grey sweatshirt and black pants with red shoes. The person next to them is watching them shoot and standing over a table with items on it. The person standing by the table is in a darker tone top and cream coloured pants with black shoes.The last person has a green hoodie and is standing further behind the other two."
52,There is a large open area outside during the winter. The trees have no leaves except for the pine trees and the ground is matted with snow. The snow for a portion is well travelled on having footprints as well as prints that indicate something being dragged or driving over. There is not much overcast whatsoever.
53,"There is an elevated rocky area, not dissimilar to what would be on a mountain, with people gathered on it, sitting and looking at the view of a distant city ahead. The area is in some sort of park area with paths and greenery all around. people are gathered in seperate groups and not as one big one. Some sit alone, others with a friend or partner. Some people are standing and others walking by. The sky is clear and the day is sunny."
54,"Inside of an enclosed area, a person sits at a drumset practicing. The area is filled with equipment for music like speakers, cases to hold instruments, more drums.The floor is black but where the drummer plays is on a red and gold patterned carpet. The person is playing on a white and gold drumset and is wearing a light grey top a black beanie and blue jeans"
55,"a person in a hat, dark grey top and light brown/cream pants is at at a brown wooden table inside of a well illuminated room with a white roof and gray floor. The person is assembling an unloaded hand gun and once they finish they point it at the white cabinet ahead of them, looking down the sights. The room is fill with various riflces and guns and also has heavy duty cabinets, one of which is wide open."
56,"5 people, excluding the instructor, are doing an exercise class in which they hold a pole that resembles a barbell on their trapezoids/back while doing various squatting movements. They do these exercises with music in the background and following the instructors movements. The room they are in has a gymansium floor and is well lit. It has some blue coloured lighting. The instructor stands on a slightly elevated stage in front of the attendees. In front of each person is a step platform with different weighted plates around it. The colour of the platform and weights is mostly black with highlights of red."
57,"Public washroom is silent. There is no one inside. There is one toilet and a bin. The walls are made of white rectangular tiles and a blue stripe along the perimeter of the wall, on the even level. It is clean inside and bright."
58,"Inside of a mechanical room with a lot of technical appliances. It is tan colored. There are a lot of black knobs, gages with red arrows. There is a big pipe on the celling and a helm connected to it. On the left side of the room there are stairs with three steps that lead to another room."
59,"Inside a restaurant. Multiple chairs stand across the room, orange and grey colored. The tables are white, simple, and there are no people inside. Tables have napkins on them. The room is bright with big floor-length glass windows. Over some tables, there are chandeliers of simple design, black and circular."
60,"Inside the apartment bedroom, that it is white and spacious. A man sits on a bed, he is looking at his phone. He places it on the nightstand shortly after and gets up from the bed. He moves towards the other table and grabs a remote from the TV. He returns to the bed and turns on the TV."
61,"Inside of the bathroom with a shower, washing machine, toilet, and a sink. The white tiles of the walls are covered in blood. There are marks of hands on the toilet cover, walls, and the curtain of the shower. There is an axe lying on top of the washing machine next to the toilet, it is covered with red blood, it made a small puddle. Over the toilet, there is a sign painted by blood that says ""RUN"". There are no people inside. "
62,"Pigeonry with 7 pigeons. It is made out of wood and has some rectangular shelves inside for the birds. There are two windows, one of which is smaller. The floor is filled with a thin layer of sand, there are also a few wooden plaques laying around. Pigeons are flying up and down near the same wall. They are calm."
63,A corridor with light yellow walls. There is a lamp on the wall. A sturdy door slowly opens and we see a man in a yellow head to toe costume. He is wearing a gas mask and black gloves. The door slowly closes when he is already inside. He comes up to the wall with a phone on it. He touches it and starts to dial in some numbers. This while time the light of the lamp slowly flashes.
64,A nature scene. Bright blue sky in the winter with some hills and trees. Trees do not have any leaves anymore. The wind blows and the branches slowly rock.
65,"Outside of the fire department station. There are two trucks going inside of the red building. The sides of the truck display a number ""112"". Both of the trucks are red."
66,"It is a football match on the grass field. The weather is cold, and people who watch the match are wearing jackets. They stand near the pitch. One man sits on a chair, watching the practice. The players are wearing orange and yellow uniforms. The player with number five in an orange t-shirt standswith  the ball and gives a pass to his teammate. They continue to play."
67,"A cityscape of a small town somewhere in Britain. The camera is positioned on top of the old building, that is being renovated and has scaffolding on the two peaks. The weather is windy and cloudy, one white car passes down the road. The private houses are mostly brown and white. The trees have a little bit of green on them. "
68,"An abandoned old building with grey garage doors. A woman paints graffiti in a bubble style on them. The windows are cracked and after she finishes, she steps back."
69,Somewhere underground in a tunnel with a dimmed lighting. It is empty except for a man on a bike that rides it slowly.
70,"The scene is set inside of the concert hall. There is a large dance floor, and dancers are in the center. They are performing in the centre while strobe lights shine in the background. Lights are purple and blue. A big crowd around the dancers is cheering and watching them."
71,"The scene is set inside of a tunnel, where a dark evening is seen. A cyclist goes inside of the tunnel. After that, a woman running from the other side appears. She is attacked by a man who drags her to the side. They dissapear in the dark."
72,"A man approaches the camera, putting on an anonymous mask. Then he proceeds to hide behind a tree next to him. He waits while a woman in a green shirt, who is running, passes him. He drags her by the waist, while she struggles to break free. They struggle and fight, but he makes it to the tree where he was hiding with her."
73,"Inside of a carting treck, cars are going around in circles. There are 8 drivers, who drive slowly, without bumping in anything."
74,"Inside a morgue room, which looks very clean with white tires on the floor and warm lights. There are 3 refrigerators. A blonde woman in blue scrubs comes in through the door. She opens one of the fridges and pulls the tray with a body in a white bag halfway. It stays in that position. Then she goes away, leaving the tray out and the fridge open."
75,"Inside of an entrance to the hospital. A group of paramedics in red and green warm suits comes in. They walk through the sliding door slowly. They have a patient lying on a rolling table, covered in blue blankets. The group of people continues to walk in to the next sliding door. They dissapear after that."
76,"Inside of an optometrist's office, there is a doctor examining a patient's eyesight on a special machine. They sit in a corner of the office, next to the doctor's computer. The doctor is wearing a white coat, the patient is in a long-sleeve sweater. The door to the room is open to the inside, and the room's number is 14. "
77,"Inside the hospital's corridor. The walls are painted white, and there are some medical devices along the walls. The doors to one of the exam rooms is open and we see a nurse there. There is also two women passing by, a nurse who brings a woman to the exam room. The nurse, who is wearing a red jacket over her uniform, goes away once the patient is inside. Meanwhile, the patient flicks the light switch."
78,"Outside of the hospital entrance, in the evening, a woman wearing white coat tries to put on her backpack. She struggles a lot because of the weight and her posture slouches once it is on her shoulders. She goes away."
1,"On a square in a European city, there is a catholic church. It is white and located in old part of the town, with cobalt road. A woman passes by towards the small houses, which are yellow. Except for her, it is empty."
2,"Inside of a dance studio, there are poles for dancing. There is a woman, standing on her arms upside down, she moves her legs slowly in a wave-like pattern. She gets down on her knees and continues to dance with her arms, sitting down. She performs a split and gets up."
3,Two different horses on a farm are standing near the fence. They are calm and looking around. One of the horses moves their head down to graze some grass. The weather is cloudy and gloomy.
4,"The bottom of the aquapark slide. Some finish their slide down and try to get up with their tubing. They come out of the water in pairs, one by one."
5,5 men are dancing in front of a large crowd. Strobing lights flash and the men rip their white tanks off their chest. They start spinning their shirts as if they are about to throw it in the audience and point to people in the public. The dancers stop and continue to hold it above their chest.
6,"A large number of people sit on top of the hill. They watch the sunset. People are in small groups chatting, hugging, and looking at the view."
7,"An outside of a big old white house. There are palms in the court, the sun shines brightly and there are a lot of trees outside. There are some people exiting the house moving outside."
8,"The scene is set in a park, on a bright day. A woman comes into frame and there are a few grey foxes following her. She stops near a fallen branch and starts feeding the animals. They come in a circle and follow the food."
9,(missing)
10,"There is a busy highway, and the camera is set on top of a crossing bridge for pedestrians. There are a lot of cars going in different direction. The bridge is red, and the highway is surrounded by trees."
11,"Inside of a climbing centre, one boulder tries to climb up a wall with an incline. He places his legs carefully. There are other people as well on the other wall. Two people also observe sitting further from the wall on the matt."
12,Car dealership. There are a lot of cars from volkswagen. They are shiny and stand far apart from each other. 
13,"It is inside a dark ballroom. Many people are going around, dressed in official tuxes and floor-length dresses. The ceiling is bright pink, with some blue accents. The light wooden parquet floor reflects the lights. Further in the room, there are more people in small groups. Close to the observer, there is a roulette that spins, while the croupier collects the chips and moves away, walking to the other side of the room."
14,"Inside a concert hall, there is a performer on the stage with a microphone, dancing in front of a large crowd. The audience is dressed officially, and they mimic the moves of a man on the stage. People jump and wiggle their feet in rhythm. Disco lights strobe and play around. There is also another man who comes on stage at the end from the audience. He walks straight to the performer and takes the microphone from him."
15,"There is an empty black scene. There are some dots of light far away and a man stands with a flashlight directed on his face from upside down. Above him, there is a big blob of yellow color and some signs inside that resemble letters, but the resolution is not that good."
16,"Tattoo office with a man tattooing a woman's ankle. It is spacious, with another table in a corner. A tattoo master picks up a machine and moves closer to the leg, leaning in to get a closer look. The client lies there on her back, looking down to see what is going on. "
17,"Inside of a cabin of a Ferris wheel. It has bright red railings and is circular in shape. The wheel slowly spins and we can see the surroundings down on the ground with multiple cars parked and trailers. It is sunset time. We see some people walking on the ground to the merry-go-round, which shines brightly."
18,"Middle Eastern restaurant with display cabinets and some food in them. A customer walks in and picks up their food. At the same time, there is a woman who is still looking. Close to the entrance, there are clear fridges with drinks in them. Employees are cleaning the open kitchen and preparing a kebab with meat that spins on a stick."
19,"Movie theatre entrance with multiple posters of new films. In the centre, there is a check-out with a cashier talking to the customers. People are walking to the doors of the cinema halls. In the corner, people are walking up and down the stairs."
20,"Inside of the room with hay and mats on the floor. 8 dark puppies are inside the room. 3 of them are playing with each other, biting and sniffing. Other puppies are asleep under the warming lamps."
21,Inside a dark tunnel at night. The walls are made of stone. There is one pipe going along it closer to the floor. There is only one lamp that shines on the side.
22,"Inside of a church with a few rows of chairs. It is bright inside. Near the lectern, there is a coffin with a big pile of white flowers on top of it. There is no one inside. There is a cross on the wall, and windows have some mosaic on them."
24,"Inside of an old catholic church, there is an orchestra giving a performance. The dirigent faces the audience with his back, meanwhile the audience is sitting on the bench. The orchestra plays following the gestures."
25,"Surgeons are performing a procedure inside the operating room. It is really bright inside with multiple sources of light. They are wearing blue costumes, while around one table in the centre. "
26,"Inside the supermarket, there are aisles of canned goods. A woman wearing a green coat comes to the boxes with tea and stands there for some time. She picks up one and places it in her basket and goes away."
27,"Outside, in the park somewhere in the city. The point of view is on the green grass, overlooking some tall office buildings. There are some cars parked outside of the park."
28,"Inside the building corridor, there are armed men in black bulletproof vests and masks. They retreat to the back and point the gun at the end of the corridor. There is also another person standing against the wall, wearing blue vest. They do not take part in the whole action."
29,"Inside the shooting range, there are two men and one woman who shoots in the target. All of them wear earmuffs. One man helps her to reload the gun, while the other stands there in the back."
30,"Winter day in the countryside, ground covered in snow. Sun is really bright, and there are trees growing in one straight line "
31,"A lot of people are sitting on the rocks. They mostly sit in pairs. Behind them there is a park with trees, and a city skyline."
32,"Inside the studio, we see a drummer practicing on his set. There are multiple drums in the other corners of the room."
33,"The gun shop. There is a man in a cap who is polishing his gun, looking at it, and assembling. There are rows of riffles behind him, on display. "
34,"During a fitness practice in the gym, there are 5 women with a barbell on their shoulders, performing squats. The gym is bright inside, with one big circular light source in the centre. After squats, they start doing Bulgarian split squats with the same barbell."
